card,power,toughness,text
"Huatli, Radiant Champion",,,"+1: Put a loyalty counter on Huatli, Radiant Champion for each creature you control. −1: Target creature gets +X/+X until end of turn, where X is the number of creatures you control. −8: You get an emblem with ""Whenever a creature enters the battlefield under your control, you may draw a card."""
"Huatli, Warrior Poet",,,"+2: You gain life equal to the greatest power among creatures you control. 0: Create a 3/3 green Dinosaur creature token with trample. −X: Huatli, Warrior Poet deals X damage divided as you choose among any number of target creatures. Creatures dealt damage this way can't block this turn."
Huatli's Snubhorn,2,2,Vigilance (Attacking doesn't cause this creature to tap.)
Huatli's Spurring,,,"Target creature gets +2/+0 until end of turn. If you control a Huatli planeswalker, that creature gets +4/+0 until end of turn instead."
Hunt the Weak,,,Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)
Impale,,,Destroy target creature.
Imperial Aerosaur,3,3,"Flying. When Imperial Aerosaur enters the battlefield, another target creature you control gets +1/+1 and gains flying until end of turn."
Imperial Ceratops,3,5,"Enrage — Whenever Imperial Ceratops is dealt damage, you gain 2 life."
Imperial Lancer,1,1,Imperial Lancer has double strike as long as you control a Dinosaur.
Induced Amnesia,,,"When Induced Amnesia enters the battlefield, target player exiles all cards from his or her hand face down, then draws that many cards. When Induced Amnesia is put into a graveyard from the battlefield, return the exiled cards to their owner's hand."
Inspiring Cleric,3,2,"When Inspiring Cleric enters the battlefield, you gain 4 life."
Ixalan's Binding,,,"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield. Your opponents can't cast spells with the same name as the exiled card."
Ixalli's Diviner,0,3,"When Ixalli's Diviner enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
Ixalli's Keeper,2,2,"{7}{G}, {T}, Sacrifice Ixalli's Keeper: Target creature gets +5/+5 and gains trample until end of turn."
"Jace, Cunning Castaway",,,"+1: Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card. −2: Create a 2/2 blue Illusion creature token with ""When this creature becomes the target of a spell, sacrifice it."". −5: Create two tokens that are copies of Jace, Cunning Castaway, except they're not legendary."
"Jace, Ingenious Mind-Mage",,,+1: Draw a card. +1: Untap all creatures you control. −9: Gain control of up to three target creatures.
Jace's Sentinel,1,3,"As long as you control a Jace planeswalker, Jace's Sentinel gets +1/+0 and can't be blocked."
Jade Bearer,1,1,"When Jade Bearer enters the battlefield, put a +1/+1 counter on another target Merfolk you control."
Jade Guardian,2,2,"Hexproof (This creature can't be the target of spells or abilities your opponents control.). When Jade Guardian enters the battlefield, put a +1/+1 counter on target Merfolk you control."
Jadecraft Artisan,3,3,"When Jadecraft Artisan enters the battlefield, target creature gets +2/+2 until end of turn."
Jadelight Ranger,2,1,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)"
Journey to Eternity,,,"Enchant creature you control. When enchanted creature dies, return it to the battlefield under your control, then return Journey to Eternity to the battlefield transformed under your control."
Jungle Creeper,3,3,{3}{B}{G}: Return Jungle Creeper from your graveyard to your hand.
Jungle Delver,1,1,{3}{G}: Put a +1/+1 counter on Jungle Delver.
Jungleborn Pioneer,2,2,"When Jungleborn Pioneer enters the battlefield, create a 1/1 blue Merfolk creature token with hexproof. (It can't be the target of spells or abilities your opponents control.)"
Kinjalli's Caller,0,3,Dinosaur spells you cast cost {1} less to cast.
Kinjalli's Sunwing,2,3,Flying. Creatures your opponents control enter the battlefield tapped.
Kitesail Corsair,2,1,Kitesail Corsair has flying as long as it's attacking.
Kitesail Freebooter,1,2,"Flying. When Kitesail Freebooter enters the battlefield, target opponent reveals his or her hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield."
Knight of the Stampede,2,4,Dinosaur spells you cast cost {2} less to cast.
"Kopala, Warden of Waves",2,2,Spells your opponents cast that target a Merfolk you control cost {2} more to cast. Abilities your opponents activate that target a Merfolk you control cost {2} more to activate.
